"TreeID","qLegalStatus","qSpecies","qAddress","SiteOrder","qSiteInfo","PlantType","qCaretaker","qCareAssistant","PlantDate","DBH","PlotSize","PermitNotes","XCoord","YCoord","Latitude","Longitude","Location"
"237818","DPW Maintained","Prunus cerasifera :: Cherry Plum","320 Surrey St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Mar 20 12:00:00 AM","3","Width 3ft",,"6001561.6197","2096237.38568","37.735956864","-122.43705638587","(37.735956864000215, -122.43705638586657)"
"208192","DPW Maintained","Tree :: Tree","1240 09th Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Mar 21 12:00:00 AM","3","Width 3ft","Permit Number 793203","5993326.71552","2107046.98774","37.76516574334","-122.46631285367","(37.76516574333735, -122.46631285366529)"
"271225","Significant Tree","Betula pendula :: European White Birch","2750 Market St","0","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Mar 28 12:00:00 AM","3","3x3",,"6001167","2105615","37.76168311543","-122.43909262571","(37.7616831154332, -122.43909262571394)"
"67325","DPW Maintained","Prunus cerasifera :: Cherry Plum","639 07th Ave","1","Sidewalk: Curb side : Cutout","Tree","Private","FUF","2023 Apr 03 12:00:00 AM","3","3x3","Permit Number 30807","5993761.0983","2111134.90775","37.77641514142","-122.46510737655","(37.77641514142492, -122.46510737655134)"
"100947","Section 806 (d)","Banksia integrifolia :: Coast Banksia","1553 45th Ave","4","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 03 12:00:00 AM","3","3x4","Permit Number 781623","5982147.5","2104516.9","37.75756747302","-122.50479091122","(37.757567473024174, -122.50479091121909)"
"100946","Section 806 (d)","Banksia integrifolia :: Coast Banksia","1553 45th Ave","3","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 03 12:00:00 AM","3","3x4","Permit Number 781623","5982147.5","2104516.9","37.75756747302","-122.50479091122","(37.757567473024174, -122.50479091121909)"
"182526","Permitted Site","Tree(s) ::","1578 34th Ave","1","Sidewalk: Curb side : Yard","Tree","Private",,"2023 Apr 03 12:00:00 AM","3","Width 0ft","Permit Number 794236","5985626.9415","2104489.6047","37.7576966023","-122.49275575619","(37.757696602302474, -122.49275575619188)"
"100944","Section 806 (d)","Banksia integrifolia :: Coast Banksia","1553 45th Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 03 12:00:00 AM","3","3x4","Permit Number 781623","5982147.5","2104516.9","37.75756747302","-122.50479091122","(37.757567473024174, -122.50479091121909)"
"100945","Section 806 (d)","Banksia integrifolia :: Coast Banksia","1553 45th Ave","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 03 12:00:00 AM","3","3x4","Permit Number 781623","5982147.5","2104516.9","37.75756747302","-122.50479091122","(37.757567473024174, -122.50479091121909)"
"271253","Permitted Site","Tree(s) ::","149 Del Monte St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 03 12:00:00 AM","3","3x3","Permit Number 794231","5999307.17346","2088649.64984","37.71499429631","-122.44430577397","(37.714994296309705, -122.44430577396604)"
"69401","DPW Maintained","Tree :: Tree","1158 Naples St","1","Sidewalk: Curb side : Cutout","Tree","Private","FUF","2023 Apr 04 12:00:00 AM","3",,"Permit Number 33505","6001276.42619","2087727.4959","37.71257442335","-122.43743321887","(37.71257442335379, -122.43743321887484)"
"229824","DPW Maintained","Jacaranda mimosifolia :: Jacaranda","1306 York St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 04 12:00:00 AM","3","Width 4ft",,"6010048.45335","2101561.19156","37.75105362223","-122.40808922184","(37.75105362223151, -122.40808922183561)"
"226854","DPW Maintained","Jacaranda mimosifolia :: Jacaranda","1306 York St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 04 12:00:00 AM","3","Width 2ft",,"6010039.20712","2101569.82479","37.75107680946","-122.40812180518","(37.751076809460905, -122.40812180518026)"
"271263","Section 806 (d)","Podocarpus gracilor :: Fern Pine","200 Naples St","3","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 05 12:00:00 AM","3","3x3","Permit Number 788750","6004165.50265","2092375.50099","37.72550065681","-122.42777863992","(37.725500656812386, -122.4277786399204)"
"216446","Permitted Site","Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman'","990 Yerba Buena Ave","3","Sidewalk: Curb side : Yard","Tree","Private",,"2023 Apr 10 12:00:00 AM","3","10x10","Permit Number 793112","5995330.95864","2094574.12984","37.73103384294","-122.45847776666","(37.73103384293822, -122.45847776665931)"
"216447","Permitted Site","Jacaranda mimosifolia :: Jacaranda","990 Yerba Buena Ave","4","Sidewalk: Curb side : Yard","Tree","Private",,"2023 Apr 10 12:00:00 AM","3","10x10","Permit Number 793112","5995317.24279","2094580.60399","37.73105083113","-122.45852565285","(37.73105083112997, -122.458525652849)"
"253658","DPW Maintained","Tristaniopsis laurina :: Swamp Myrtle","1545 Pine St","3","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 11 12:00:00 AM","3","4x4",,"6006535","2115598","37.7893980097","-122.42123576896","(37.78939800970167, -122.42123576896066)"
"253656","DPW Maintained","Tristaniopsis laurina :: Swamp Myrtle","1545 Pine St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 11 12:00:00 AM","3","4x4",,"6006535","2115598","37.7893980097","-122.42123576896","(37.78939800970167, -122.42123576896066)"
"253657","DPW Maintained","Tristaniopsis laurina :: Swamp Myrtle","1545 Pine St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 11 12:00:00 AM","3","4x4",,"6006535","2115598","37.7893980097","-122.42123576896","(37.78939800970167, -122.42123576896066)"
"253659","DPW Maintained","Tristaniopsis laurina :: Swamp Myrtle","1545 Pine St","4","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 11 12:00:00 AM","3","4x4",,"6006535","2115598","37.7893980097","-122.42123576896","(37.78939800970167, -122.42123576896066)"
"253660","DPW Maintained","Tristaniopsis laurina :: Swamp Myrtle","1545 Pine St","5","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 11 12:00:00 AM","3","4x4",,"6006535","2115598","37.7893980097","-122.42123576896","(37.78939800970167, -122.42123576896066)"
"233315","Significant Tree","Pinus radiata :: Monterey Pine","401 Collingwood St","1","Sidewalk: Property side : Yard","Tree","Private",,"2023 Apr 11 12:00:00 AM","3","Width 10ft",,"6002143.7739","2103461.94715","37.75582688282","-122.43556033036","(37.75582688282123, -122.43556033035779)"
"15265","DPW Maintained","Lophostemon confertus :: Brisbane Box","1517 Mission St","2","Sidewalk: Curb side : Cutout","Tree","DPW",,"2023 Apr 11 12:00:00 AM","12","3X3",,"6007548.55895","2109980.53522","37.77403089764","-122.41733071184","(37.774030897638106, -122.41733071183597)"
"15264","DPW Maintained","Lophostemon confertus :: Brisbane Box","1517 Mission St","1","Sidewalk: Curb side : Cutout","Tree","DPW",,"2023 Apr 11 12:00:00 AM","12","3X3",,"6007527.96979","2109962.30652","37.77397968756","-122.41740064134","(37.77397968755686, -122.41740064134454)"
"123412","DPW Maintained","Callistemon citrinus :: Lemon Bottlebrush","401 03rd Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 12 12:00:00 AM","3","Width 5ft",,"5994941.8407","2112759.69789","37.78094439696","-122.46114068483","(37.78094439695699, -122.46114068483469)"
"145698","DPW Maintained","Callistemon citrinus :: Lemon Bottlebrush","401 03rd Ave","5","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 12 12:00:00 AM","3","Width 4ft",,"5994947.07141","2112660.23109","37.78067158877","-122.46111537749","(37.780671588765124, -122.46111537749293)"
"224736","DPW Maintained","Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'","3751 20th St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 13 12:00:00 AM","3","6x9",,"6005316.30441","2104275.01271","37.7582390498","-122.42464651865","(37.758239049798505, -122.42464651864739)"
"271291","Section 806 (d)","Pistacia chinensis :: Chinese Pistache","1056 Sanchez St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 13 12:00:00 AM","3",,,"6003785.29107","2102112.70373","37.7522152749","-122.42978720165","(37.752215274903115, -122.42978720165192)"
"21847","DPW Maintained","Ginkgo biloba :: Maidenhair Tree","200X Cabrillo St","2","Sidewalk: Curb side : Cutout","Tree","DPW",,"2023 Apr 15 12:00:00 AM","3","3X3",,"5994968.90714","2110807.33222","37.77558527848","-122.46090550771","(37.775585278478616, -122.46090550770681)"
"232394","Section 806 (d)","Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood","45 Sharon St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 18 12:00:00 AM","3","Width 3ft",,"6003880.35265","2106887.72771","37.76533173748","-122.42979901883","(37.7653317374803, -122.4297990188284)"
"124805","DPW Maintained","Lagunaria patersonii :: Primrose Tree","2798 Greenwich St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 18 12:00:00 AM","3","Width 5ft","Permit Number 781937","5999607.72686","2118800.07594","37.79779709432","-122.44543360038","(37.79779709432067, -122.44543360038422)"
"171452","DPW Maintained","Podocarpus gracilor :: Fern Pine","114 Trumbull St","1","Sidewalk: Curb side : Cutout","Tree","Private","Clean City","2023 Apr 21 12:00:00 AM","0","Width 2ft",,"6004135.76587","2094282.12202","37.73073413125","-122.4280172433","(37.73073413125486, -122.42801724330126)"
"271325","Section 806 (d)","Tree :: Tree","17 Hoff St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 25 12:00:00 AM","3","3x3","Permit Number 788347","6006567.53463","2106603.4101","37.76470287098","-122.42048448445","(37.76470287097849, -122.42048448445397)"
"271326","Section 806 (d)","Tree :: Tree","17 Hoff St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 25 12:00:00 AM","3","3x3","Permit Number 788347","6006567.53463","2106603.4101","37.76470287098","-122.42048448445","(37.76470287097849, -122.42048448445397)"
"271350","Section 806 (d)","Magnolia grandiflora :: Southern Magnolia","1405 23rd Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 28 12:00:00 AM","3","3x3","Permit Number 788631",,,,,
"271348","Section 806 (d)","Magnolia grandiflora :: Southern Magnolia","1803 Judah St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 28 12:00:00 AM","3","3x3","Permit Number 788631","5988958.97113","2105787.47864","37.76145449081","-122.48132740687","(37.76145449080668, -122.4813274068675)"
"271349","Section 806 (d)","Magnolia grandiflora :: Southern Magnolia","1803 Judah St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 Apr 28 12:00:00 AM","3","3x3","Permit Number 788631","5988958.97113","2105787.47864","37.76145449081","-122.48132740687","(37.76145449080668, -122.4813274068675)"
"67546","DPW Maintained","Agonis flexuosa 'After Dark' :: Peppermint willow 'After Dark'","1139 Rhode Island St","1","Sidewalk: Curb side : Cutout","Tree","Private","FUF","2023 May 01 12:00:00 AM","3",,"Permit Number 794415","6011964.43282","2103102.09088","37.7553916865","-122.40157181881","(37.75539168649722, -122.40157181880541)"
"127310","Section 806 (d)","Magnolia grandiflora :: Southern Magnolia","2628 Steiner St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 01 12:00:00 AM","3","Width 4ft","Permit Number 782521","6002180.44498","2117279.98514","37.79376985105","-122.43642244297","(37.793769851052296, -122.43642244296854)"
"261697","Section 806 (d)","Magnolia grandiflora :: Southern Magnolia","1853 23rd Ave","1","Sidewalk: Curb side : Cutout","Tree","Private","FUF","2023 May 03 12:00:00 AM","3","3x3","Permit Number 792392","5989039","2102711","37.75301195936","-122.48082538008","(37.75301195936498, -122.4808253800836)"
"177738","Private","Leptospermum scoparium 'Ruby Glow' :: New Zealand Ruby Glow Tea Tree","123 Santa Ysabel Ave","2","Sidewalk: Property side : Yard","Tree","Private",,"2023 May 04 12:00:00 AM","3","Width 3ft","Permit Number 794433","6000617.66463","2093295.25318","37.72782474981","-122.44010909946","(37.72782474980692, -122.44010909945611)"
"177737","Private","Leptospermum scoparium 'Ruby Glow' :: New Zealand Ruby Glow Tea Tree","123 Santa Ysabel Ave","1","Sidewalk: Property side : Yard","Tree","Private",,"2023 May 04 12:00:00 AM","3","Width 3ft","Permit Number 794433","6000610.73468","2093300.56234","37.72783893301","-122.44013343693","(37.72783893301035, -122.44013343693005)"
"271404","Section 806 (d)","Tristaniopsis laurina :: Swamp Myrtle","1966 36th Ave","1","Sidewalk: Property side : Yard","Tree","Private",,"2023 May 05 12:00:00 AM","3","3x8","Permit Number 789343","5985093.70331","2101820.37014","37.75033642418","-122.4944031293","(37.750336424175735, -122.49440312929654)"
"271440","Planning Code 138.1 required","Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia","2045 Evans Ave","20","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271425","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","5","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271441","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","21","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271423","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","3","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271448","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","6","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271424","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","4","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271438","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","18","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
